trade_id,trade_date,action_open,action_close,Open,Close,entry_price,exit_price,previous_open,previous_close,previous_day_return,opening_gap,gross_trade_return,return_after_slippage,transaction_cost_return,net_trade_return,trade_outcome,portfolio_value,cumulative_return
17,2022-01-14,BUY_OPEN,SELL_CLOSE,160.14999389648438,162.13800048828125,160.1900313949585,162.09746598815917,165.25050354003906,161.21400451660156,-0.02442654598301719,-0.0065999887745956665,0.01241340410591496,0.011907323923907365,0.0005,0.011407323923907364,WIN,106699.41386307815,0.06699413863078152
18,2022-01-21,BUY_OPEN,SELL_CLOSE,149.9499969482422,142.64300537109375,149.98748444747926,142.607344619751,156.76600646972656,151.66749572753906,-0.03252306323930043,-0.011324105874222723,-0.04872952134617625,-0.04920503770641316,0.0005,-0.04970503770641316,LOSS,101395.91547376165,0.013959154737616553
19,2022-01-24,BUY_OPEN,SELL_CLOSE,139.0,144.54400634765625,139.03475,144.50787034606935,149.9499969482422,142.64300537109375,-0.04872952134617625,-0.025539320078234895,0.03988493775292268,0.03936512523717517,0.0005,0.03886512523717517,WIN,105336.68042718744,0.05336680427187446
20,2022-02-03,BUY_OPEN,SELL_CLOSE,141.7375030517578,138.8455047607422,141.77293742752076,138.810793384552,155.05050659179688,150.6125030517578,-0.0286229541430848,-0.058926050760540916,-0.02040390319250629,-0.020893578822002712,0.0005,-0.021393578822002712,LOSS,103083.15185162029,0.030831518516202916
21,2022-02-14,BUY_OPEN,SELL_CLOSE,151.75100708007812,155.16700744628906,151.78894483184817,155.1282156944275,158.13450622558594,153.2935028076172,-0.030613200961103648,-0.010062368588934167,0.022510561425192588,0.021999433926354506,0.0005,0.021499433926354505,WIN,105299.38126377459,0.05299381263774583
22,2022-02-24,BUY_OPEN,SELL_CLOSE,139.83749389648438,151.35800170898438,139.8724532699585,151.32016220855712,151.65049743652344,144.82699584960938,-0.044994917275297364,-0.034451463443363695,0.08238497052176963,0.08184391330081398,0.0005,0.08134391330081397,WIN,113864.84500392442,0.1386484500392442
23,2022-03-04,BUY_OPEN,SELL_CLOSE,147.15899658203125,145.64100646972656,147.19578633117678,145.60459621810912,153.531494140625,147.89849853515625,-0.03668951205743676,-0.005000063965823309,-0.010315306216827302,-0.01081002488405225,0.0005,-0.01131002488405225,LOSS,112577.03077351127,0.12577030773511266
24,2022-03-08,BUY_OPEN,SELL_CLOSE,136.68350219726562,136.01449584960938,136.71767307281496,135.98049222564697,145.44349670410156,137.4530029296875,-0.05493881786045318,-0.005598282438511015,-0.004894565451584065,-0.005391993811768359,0.0005,-0.005891993811768359,LOSS,111913.72760484648,0.1191372760484648
25,2022-04-06,BUY_OPEN,SELL_CLOSE,161.65049743652344,158.75599670410156,161.69091006088257,158.71630770492555,167.7415008544922,164.05499267578125,-0.02197731724070362,-0.014656641654361424,-0.017905919117622737,-0.018396843426986553,0.0005,-0.018896843426986554,LOSS,109798.91141696727,0.09798911416967271
26,2022-04-18,BUY_OPEN,SELL_CLOSE,151.52349853515625,152.78500366210938,151.56137940979005,152.74680741119386,155.38999938964844,151.7064971923828,-0.023704885846797974,-0.001206267764488067,0.008325475184698394,0.007821438456288021,0.0005,0.007321438456288021,WIN,110602.79738947403,0.10602797389474028
27,2022-04-22,BUY_OPEN,SELL_CLOSE,148.25,144.35000610351562,148.28706250000002,144.31391860198974,154.71400451660156,148.29600524902344,-0.04148298848336929,-0.00031022581455364406,-0.026306872826201477,-0.02679359770856804,0.0005,-0.02729359770856804,LOSS,107584.04913208348,0.07584049132083481
28,2022-04-25,BUY_OPEN,SELL_CLOSE,144.0229949951172,146.07400512695312,144.05900074386597,146.0374866256714,148.25,144.35000610351562,-0.026306872826201477,-0.0022654041882335108,0.014240851829983692,0.013733858152487954,0.0005,0.013233858152487954,WIN,109007.80117776779,0.09007801177767782
29,2022-05-02,BUY_OPEN,SELL_CLOSE,122.4010009765625,124.5,122.43160122680665,124.468875,129.8489990234375,124.28150177001952,-0.042876705213669486,-0.015130979000695155,0.017148544592698434,0.01664009743219208,0.0005,0.01614009743219208,WIN,110767.19770964599,0.10767197709645981
30,2022-05-06,BUY_OPEN,SELL_CLOSE,114.8499984741211,114.77249908447266,114.87871097373963,114.74380595970155,123.0,116.40699768066406,-0.053601644872649845,-0.013375477742448405,-0.0006747879031613335,-0.001174325624779371,0.0005,-0.001674325624779371,LOSS,110581.73735213572,0.10581737352135723
31,2022-05-11,BUY_OPEN,SELL_CLOSE,108.10350036621094,105.37200164794922,108.1305262413025,105.34565864753723,111.25,108.85900115966795,-0.021492124407479052,-0.006940177526972624,-0.025267440082962223,-0.02575468455180363,0.0005,-0.02625468455180363,LOSS,107678.448720765,0.07678448720764997
32,2022-05-12,BUY_OPEN,SELL_CLOSE,102.75,106.93049621582033,102.7756875,106.90376359176638,108.10350036621094,105.37200164794922,-0.025267440082962223,-0.02488328594828637,0.040686094557861985,0.04016588156383172,0.0005,0.03966588156383172,WIN,111949.60931469999,0.11949609314699994
