classifier,regressor,probability_quantile,return_quantile,probability_threshold,return_threshold,precision,recall,f1,balanced_accuracy,roc_auc,total_return,sharpe_ratio,win_rate,maximum_drawdown,number_of_trades,excess_return,excess_sharpe,classification_pass,economic_pass,objective_score
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.45,0.30568956611764964,-0.0012548995735889726,0.48,0.5217391304347826,0.5,0.5124619219052894,0.46086033416412814,-0.12369965195515342,-0.38863305730633063,0.48,-0.33278899684082397,150,-0.21994732174554743,-2.2355279983055008,True,False,-0.6541997223689361
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.5,0.30568956611764964,-0.0010124620730135524,0.48936170212765956,0.5,0.4946236559139785,0.5207006369426752,0.46086033416412814,-0.08184398943770244,-0.22009431134618943,0.48936170212765956,-0.31208952399295886,141,-0.17809165922809644,-2.0669892523453597,True,False,-0.34271962804871475
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.55,0.30568956611764964,-0.0006060445721779821,0.484375,0.4492753623188406,0.46616541353383456,0.5144465983568725,0.46086033416412814,-0.13088191269734695,-0.46204168065768203,0.484375,-0.3047906289342436,128,-0.22712958248774096,-2.3089366216568523,True,False,-0.7331030943803616
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.6000000000000001,0.30568956611764964,-0.0003444737265971562,0.47368421052631576,0.391304347826087,0.42857142857142855,0.5045693713652728,0.46086033416412814,-0.14400508571296156,-0.539313783917067,0.47368421052631576,-0.31437136074203675,114,-0.24025275550335556,-2.386208724916237,False,False,-0.8591745745682042
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.65,0.30568956611764964,-9.406458653044818e-05,0.47,0.34057971014492755,0.3949579831932773,0.5015000461552663,0.46086033416412814,-0.13693368043679754,-0.5363263584435919,0.47,-0.3198443860719373,100,-0.23318135022719155,-2.383221299442762,False,False,-0.8309208349581463
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.7000000000000001,0.30568956611764964,7.027969620944319e-05,0.46511627906976744,0.2898550724637681,0.35714285714285715,0.49843072094525986,0.46086033416412814,-0.1111239881595315,-0.4225997434706858,0.46511627906976744,-0.28803449612217635,86,-0.20737165794992551,-2.269494684469856,False,False,-0.6533204395239713
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.75,0.30568956611764964,0.00034239684050220475,0.4788732394366197,0.2463768115942029,0.3253588516746411,0.5053540108926429,0.46086033416412814,-0.06575563520092143,-0.21172881136616284,0.4788732394366197,-0.24810633542243687,71,-0.16200330499131543,-2.058623752365333,False,False,-0.3183032052926884
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.8,0.30568956611764964,0.0006157744171689808,0.47368421052631576,0.1956521739130435,0.27692307692307694,0.5022846856826364,0.46086033416412814,-0.020244603320878296,-0.005604242551404567,0.47368421052631576,-0.21029392339911968,57,-0.1164922731112723,-1.8524991835505746,False,False,0.005444655908108033
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.0,0.3305155800542801,-0.006771974110182478,0.4479638009049774,0.717391304347826,0.5515320334261838,0.4701606203267793,0.46086033416412814,-0.3404905519512984,-1.3094634291760012,0.4479638009049774,-0.4459121892362914,221,-0.4367382217416924,-3.1563583701751714,False,False,-2.259993073124011
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.05,0.3305155800542801,-0.004807381007318475,0.45622119815668205,0.717391304347826,0.5577464788732395,0.482899473829964,0.46086033416412814,-0.3066914369304151,-1.1451732935044712,0.45622119815668205,-0.41941149005400713,217,-0.4029391067208091,-2.992068234503641,False,False,-1.994537530845886
